id,firstname,lastname,email,Campus,Promo,Origine,Recrut_salon,moyenne,Abandon,contrat,ecole_origine,entreprise,duree_recrutement
303,Berget,Shaver,Berget.Shaver@supinfo.com,lyon,2017,British Indian Ocean Territory,YES,10,"yes ",N/A,Taipei,oracle,9
304,Dotty,Fry,Dotty.Fry@supinfo.com,lyon,2017,United Kingdom,NO,13,no,contrat pro,Canberra,javista,3
305,Desirae,Toor,Desirae.Toor@supinfo.com,paris,2020,Azerbaijan,YES,12,"yes ","alternance ",Abidjan,oracle,7
306,Regina,Daveta,Regina.Daveta@supinfo.com,lille,2021,Niue,NO,7,"yes ","alternance ",Fairbanks,societe generale,10
307,Sidoney,Tufts,Sidoney.Tufts@supinfo.com,montpellier,2019,Canada,YES,7,no,"alternance ",Medan,orange,5
308,Deane,Zeeba,Deane.Zeeba@supinfo.com,tours,2020,Bolivia,YES,9,no,"alternance ",Bern,societe generale,4
309,Nicoli,Dash,Nicoli.Dash@supinfo.com,toulouse,2016,Brazil,NO,2,no,"alternance ",Porto,bouyges,9
310,Doralynne,Richers,Doralynne.Richers@supinfo.com,montpellier,2018,Turkey,NO,18,"yes ","alternance ",Munich,societe generale,3
311,Ardeen,Cecile,Ardeen.Cecile@supinfo.com,montpellier,2019,"Cote D""Ivoire",YES,18,"yes ",contrat pro,City of Halifax,total,3
312,Averyl,Joli,Averyl.Joli@supinfo.com,nantes,2018,Norfolk Island,YES,3,no,N/A,Bandar Seri Begawan,expanscience,6
313,Trixi,Chinua,Trixi.Chinua@supinfo.com,lille,2020,Central African Republic,NO,3,no,"stage ",Beijing,capgemini,7
314,Sophia,Kesley,Sophia.Kesley@supinfo.com,tour,2016,New Zealand,NO,17,no,contrat pro,Road Town,orange,10
315,Linzy,Ahab,Linzy.Ahab@supinfo.com,montpellier,2019,Togo,NO,17,"yes ",N/A,Salt Lake City,microsoft,5
316,Marti,Anyah,Marti.Anyah@supinfo.com,lyon,2019,"Lao People""S Democratic Republic",YES,7,"yes ","alternance ",Willemstad,societe generale,6
317,Sibella,Tengdin,Sibella.Tengdin@supinfo.com,lille,2019,Kazakhstan,NO,18,"yes ",contrat pro,Kraków,capgemini,10
318,Jerry,Dalli,Jerry.Dalli@supinfo.com,lyon,2017,Spain,YES,4,"yes ",N/A,Kaesong,total,8
319,Danika,Joseph,Danika.Joseph@supinfo.com,tour,2021,Botswana,YES,6,"yes ",contrat pro,Marrakech,expanscience,3
320,Kathi,Girardo,Kathi.Girardo@supinfo.com,lille,2019,Uzbekistan,YES,6,"yes ",contrat pro,Bandung,bouyges,4
321,Emma,Hailee,Emma.Hailee@supinfo.com,montpellier,2020,Czech Republic,YES,4,no,N/A,Houston,orange,1
322,Tybie,Publia,Tybie.Publia@supinfo.com,lyon,2019,Jersey,YES,15,no,"alternance ",Belgrade,capgemini,8
323,Katuscha,Koziara,Katuscha.Koziara@supinfo.com,lille,2018,Thailand,YES,7,"yes ",N/A,Bamako,bnp,8
324,Gusty,Infield,Gusty.Infield@supinfo.com,lille,2019,Finland,YES,15,no,"stage ",Jinan,oracle,3
325,Annice,Paine,Annice.Paine@supinfo.com,lyon,2020,Israel,NO,4,no,"stage ",Jayapura,javista,9
326,Fawne,Drus,Fawne.Drus@supinfo.com,tours,2017,Ukraine,YES,11,"yes ",contrat pro,George Town,total,5
327,Danny,Rese,Danny.Rese@supinfo.com,paris,2021,Saint Lucia,NO,2,"yes ","stage ",Ashgabat,societe generale,8
328,Oralee,Ezar,Oralee.Ezar@supinfo.com,nantes,2018,France,YES,6,no,contrat pro,Brisbane,,10
329,Mara,Lasley,Mara.Lasley@supinfo.com,toulouse,2021,Tonga,NO,4,no,"stage ",Accra,javista,2
330,June,Corrine,June.Corrine@supinfo.com,tour,2016,Burundi,NO,9,no,"stage ",Nouakchott,total,6
331,Brynna,Clie,Brynna.Clie@supinfo.com,tours,2018,Mauritania,YES,2,no,"alternance ",Anchorage,cgi,9
332,Shauna,Wattenberg,Shauna.Wattenberg@supinfo.com,lyon,2016,Nepal,YES,11,"yes ",N/A,Chennai,orange,10
333,Dianemarie,Kaja,Dianemarie.Kaja@supinfo.com,nantes,2020,Saint Pierre and Miquelon,YES,16,"yes ","stage ",Lagos,orange,2
334,Josephine,Uund,Josephine.Uund@supinfo.com,lyon,2019,Cuba,NO,16,no,"alternance ",Innsbruck,bnp,1
335,Carly,Toni,Carly.Toni@supinfo.com,montpellier,2019,Paraguay,YES,3,"yes ",contrat pro,Munich,bouyges,4
336,Mallory,Carlson,Mallory.Carlson@supinfo.com,tours,2021,Cook Islands,YES,2,"yes ","stage ",Lagos,ascenci,2
337,Jenda,Viddah,Jenda.Viddah@supinfo.com,toulouse,2018,Svalbard and Jan Mayen,NO,5,"yes ","stage ",Karachi,orange,10
338,Tina,Freddi,Tina.Freddi@supinfo.com,tours,2016,Brunei Darussalam,NO,7,"yes ",contrat pro,Quetzaltenango,societe generale,2
339,Elise,Willie,Elise.Willie@supinfo.com,tours,2018,Costa Rica,YES,17,no,N/A,Brikama,oracle,1
340,Cyndie,Bakerman,Cyndie.Bakerman@supinfo.com,montpellier,2019,Madagascar,NO,10,"yes ",contrat pro,Ljubljana,google,6
341,Roberta,Hull,Roberta.Hull@supinfo.com,tours,2018,Zambia,NO,16,"yes ",contrat pro,Baghdad,cgi,1
342,Nonnah,Robertson,Nonnah.Robertson@supinfo.com,nantes,2018,"Cote D""Ivoire",YES,4,"yes ","stage ",Pago Pago,bouyges,10
343,Aryn,Sharl,Aryn.Sharl@supinfo.com,lille,2016,Burundi,YES,18,no,"stage ",Boa Vista,javista,2
344,Angela,Colleen,Angela.Colleen@supinfo.com,lille,2019,Uganda,NO,7,"yes ","stage ",Munich,bouyges,8
345,Aryn,Tatianas,Aryn.Tatianas@supinfo.com,paris,2016,Kyrgyzstan,YES,11,"yes ","stage ",Nizhny Novgorod,ascenci,7
346,Sadie,August,Sadie.August@supinfo.com,toulouse,2020,Lesotho,YES,7,"yes ",N/A,Dhaka,expanscience,1
347,Christy,Florina,Christy.Florina@supinfo.com,lyon,2018,Viet Nam,NO,8,"yes ","stage ",Leipzig,bnp,10
348,Madelle,Phyllis,Madelle.Phyllis@supinfo.com,tours,2020,Grenada,NO,18,no,contrat pro,Milwaukee,expanscience,6
349,Janenna,Grobe,Janenna.Grobe@supinfo.com,lyon,2019,Turkey,NO,13,"yes ",contrat pro,Sacramento,bouyges,10
350,Vivia,Rossner,Vivia.Rossner@supinfo.com,paris,2016,Turkmenistan,NO,3,no,contrat pro,Dongguan,google,4
351,Nickie,Louanna,Nickie.Louanna@supinfo.com,tours,2020,Poland,YES,15,no,N/A,Boston,bouyges,5
352,Tatiania,Dudley,Tatiania.Dudley@supinfo.com,tours,2020,French Southern Territories,NO,15,no,"alternance ",Nantes,,2
353,Ninnetta,Gilbertson,Ninnetta.Gilbertson@supinfo.com,lille,2016,Estonia,YES,5,"yes ","stage ",Cannes,capgemini,5
354,Calla,Darrell,Calla.Darrell@supinfo.com,toulouse,2016,New Zealand,YES,9,no,"stage ",Rabat,google,4
355,Jsandye,Briney,Jsandye.Briney@supinfo.com,toulouse,2017,Chad,YES,10,"yes ",contrat pro,Jamestown,google,10
356,Ana,Idelia,Ana.Idelia@supinfo.com,montpellier,2018,Somalia,YES,14,no,N/A,Ahmedabad,cgi,10
357,Dianemarie,Bibi,Dianemarie.Bibi@supinfo.com,toulouse,2021,Iraq,YES,8,"yes ","stage ",Okinawa,bouyges,7
358,Annaliese,Lacombe,Annaliese.Lacombe@supinfo.com,paris,2016,Montserrat,NO,17,"yes ",N/A,Brisbane,oracle,9
359,Valera,Adamsen,Valera.Adamsen@supinfo.com,nantes,2017,"Macedonia, The Former Yugoslav Republic of",NO,14,no,"alternance ",Naples,,7
360,Lulita,Odysseus,Lulita.Odysseus@supinfo.com,paris,2021,Antigua and Barbuda,NO,5,"yes ",N/A,Mecca,oracle,5
361,Jackie,Philipp,Jackie.Philipp@supinfo.com,tours,2016,Kiribati,NO,14,no,"alternance ",Gold Coast,bouyges,9
362,Camile,Olin,Camile.Olin@supinfo.com,paris,2017,Gambia,YES,9,"yes ","alternance ",Yekaterinburg,,10
363,Sharlene,Cullin,Sharlene.Cullin@supinfo.com,paris,2020,Svalbard and Jan Mayen,YES,16,no,"stage ",Cincinnati,,3
364,Zaria,Joeann,Zaria.Joeann@supinfo.com,tours,2016,AndorrA,NO,4,"yes ","stage ",Srinagar,societe generale,4
365,Ardenia,Howlyn,Ardenia.Howlyn@supinfo.com,montpellier,2016,Burkina Faso,YES,15,"yes ",N/A,Beirut,oracle,3
366,Tatiania,Horan,Tatiania.Horan@supinfo.com,lille,2019,Tajikistan,YES,4,"yes ","stage ",Newcastle,ascenci,9
367,Hermione,Cullin,Hermione.Cullin@supinfo.com,tour,2018,New Zealand,NO,9,"yes ","alternance ",Riyadh,orange,4
368,Harrietta,Dearborn,Harrietta.Dearborn@supinfo.com,paris,2019,Svalbard and Jan Mayen,YES,18,"yes ","alternance ",Lucknow,javista,5
369,Collen,Rustice,Collen.Rustice@supinfo.com,lyon,2017,Saint Vincent and the Grenadines,YES,5,no,"stage ",Douala,oracle,6
370,Sashenka,Sperling,Sashenka.Sperling@supinfo.com,toulouse,2016,"Tanzania, United Republic of",YES,9,no,"alternance ",Kuwait City,expanscience,3
371,Joelly,Fadiman,Joelly.Fadiman@supinfo.com,lyon,2016,Guinea,YES,10,no,N/A,Indianapolis,orange,7
372,Philis,Fontana,Philis.Fontana@supinfo.com,toulouse,2020,Cook Islands,NO,14,"yes ",contrat pro,Port Hedland,ascenci,7
373,Meg,Pacorro,Meg.Pacorro@supinfo.com,toulouse,2018,Jordan,NO,8,no,N/A,Manila,google,1
374,Lorenza,Bertold,Lorenza.Bertold@supinfo.com,tour,2021,Comoros,NO,10,no,contrat pro,Maseru,total,6
375,Kirbee,Lorenz,Kirbee.Lorenz@supinfo.com,lille,2019,Finland,YES,18,"yes ","alternance ",Washington,cgi,7
376,Steffane,Ovid,Steffane.Ovid@supinfo.com,toulouse,2020,Somalia,YES,6,no,N/A,Nizhny Novgorod,oracle,6
377,Winifred,Hoenack,Winifred.Hoenack@supinfo.com,tours,2020,Aruba,NO,13,"yes ","stage ",Rochester,microsoft,1
378,Rosanne,Hortensia,Rosanne.Hortensia@supinfo.com,lyon,2016,"Lao People""S Democratic Republic",YES,5,"yes ","alternance ",Arequipa,oracle,5
379,Edee,Faria,Edee.Faria@supinfo.com,tour,2018,Myanmar,NO,15,no,"stage ",Fukuoka,ascenci,9
380,Caressa,Ruvolo,Caressa.Ruvolo@supinfo.com,nantes,2021,Jamaica,YES,15,"yes ",contrat pro,Lisbon,google,1
381,Pollyanna,Bonucci,Pollyanna.Bonucci@supinfo.com,toulouse,2021,Lebanon,NO,6,no,N/A,Kyoto,capgemini,8
382,Mamie,Ardra,Mamie.Ardra@supinfo.com,tour,2021,Saint Kitts and Nevis,YES,15,"yes ","alternance ",Campo Grande,orange,8
383,Anallese,Cherianne,Anallese.Cherianne@supinfo.com,tour,2017,Canada,NO,5,no,N/A,Phnom Penh,orange,6
384,Elyssa,Michella,Elyssa.Michella@supinfo.com,nantes,2020,Ukraine,YES,7,"yes ",N/A,Jeddah,total,7
385,Lelah,Si,Lelah.Si@supinfo.com,lille,2016,Uruguay,NO,17,"yes ",contrat pro,Odessa,bouyges,7
386,Desirae,Karylin,Desirae.Karylin@supinfo.com,tours,2019,Aruba,NO,10,"yes ","stage ",Zhengzhou,oracle,9
387,Violet,Azeria,Violet.Azeria@supinfo.com,toulouse,2019,Lithuania,NO,13,"yes ","stage ",Horta (Azores),oracle,6
388,Sadie,Nikaniki,Sadie.Nikaniki@supinfo.com,lyon,2020,Tokelau,NO,7,"yes ","alternance ",Bratsk,bouyges,8
389,Shannah,Pierette,Shannah.Pierette@supinfo.com,tours,2019,Eritrea,NO,3,no,N/A,Omdurman,capgemini,4
390,Reeba,Phyllis,Reeba.Phyllis@supinfo.com,tour,2021,Nepal,NO,12,"yes ","alternance ",Rome,bouyges,4
391,Di,Mandler,Di.Mandler@supinfo.com,tour,2016,Pakistan,YES,16,no,contrat pro,Honiara,oracle,2
392,Marguerite,Teryn,Marguerite.Teryn@supinfo.com,paris,2017,South Georgia and the South Sandwich Islands,NO,15,"yes ",N/A,Shillong,google,2
393,Aaren,Avi,Aaren.Avi@supinfo.com,tours,2020,Nauru,NO,16,no,"alternance ",Makassar,bouyges,2
394,Valera,Nunci,Valera.Nunci@supinfo.com,tours,2021,Netherlands,NO,14,"yes ",N/A,Chittagong,cgi,7
395,Alexine,Kimmie,Alexine.Kimmie@supinfo.com,montpellier,2019,Suriname,NO,6,"yes ","stage ",Salt Lake City,bouyges,5
396,Gusella,Casimir,Gusella.Casimir@supinfo.com,lille,2020,Guinea-Bissau,YES,16,no,N/A,Hanga Roa,societe generale,2
397,Dorthy,Bates,Dorthy.Bates@supinfo.com,montpellier,2017,Central African Republic,YES,4,"yes ",N/A,Mexico City,,4
398,Sonni,Virgin,Sonni.Virgin@supinfo.com,nantes,2020,Israel,NO,11,no,"alternance ",Pelotas,,6
399,Janey,Gamaliel,Janey.Gamaliel@supinfo.com,toulouse,2018,"Tanzania, United Republic of",YES,3,"yes ",N/A,Christchurch,orange,8
400,Mahalia,Means,Mahalia.Means@supinfo.com,nantes,2019,Trinidad and Tobago,NO,18,no,contrat pro,Louisville,oracle,10
401,Bobinette,Aurelio,Bobinette.Aurelio@supinfo.com,paris,2017,Timor-Leste,NO,5,no,N/A,Kawasaki,microsoft,3
402,Alexine,Bertold,Alexine.Bertold@supinfo.com,lille,2020,Christmas Island,NO,5,"yes ","stage ",El Aaiún,oracle,9
403,Ilse,Wattenberg,Ilse.Wattenberg@supinfo.com,lyon,2019,Senegal,YES,18,no,contrat pro,Thiès,societe generale,6
404,Rivalee,Elsinore,Rivalee.Elsinore@supinfo.com,paris,2018,Paraguay,YES,16,no,"alternance ",Melbourne,societe generale,5
405,Darci,Seligman,Darci.Seligman@supinfo.com,tour,2021,Netherlands Antilles,NO,2,no,N/A,Caracas,bnp,6
406,Agnese,Han,Agnese.Han@supinfo.com,lille,2016,Egypt,NO,7,no,"alternance ",Invercargill,ascenci,10
407,Lorne,Nunci,Lorne.Nunci@supinfo.com,lille,2021,Afghanistan,YES,4,"yes ",contrat pro,Saint John,javista,2
408,Agnese,Johanna,Agnese.Johanna@supinfo.com,tour,2019,San Marino,YES,9,no,"stage ",Rockhampton,javista,5
409,Marline,Sammons,Marline.Sammons@supinfo.com,montpellier,2021,Switzerland,YES,6,"yes ","stage ",Zürich,javista,3
410,Allyce,Lemuela,Allyce.Lemuela@supinfo.com,lille,2017,Switzerland,YES,4,"yes ",N/A,Iquitos,javista,4
411,Juliane,Gunn,Juliane.Gunn@supinfo.com,tours,2018,India,NO,13,no,"alternance ",Porto-Novo,bouyges,9
412,Robinia,Heidt,Robinia.Heidt@supinfo.com,toulouse,2018,"Korea, Republic of",NO,13,"yes ","alternance ",Glasgow,expanscience,9
413,Clo,Pozzy,Clo.Pozzy@supinfo.com,lille,2018,Saint Vincent and the Grenadines,YES,12,no,"stage ",Gothenburg,capgemini,3
414,Karina,Bryna,Karina.Bryna@supinfo.com,tour,2020,"Korea, Republic of",NO,4,no,N/A,Leipzig,cgi,4
415,Cissiee,Bultman,Cissiee.Bultman@supinfo.com,lille,2018,Greece,YES,16,no,"alternance ",Tagbilaran,cgi,10
416,Alameda,Goldina,Alameda.Goldina@supinfo.com,lyon,2019,Equatorial Guinea,YES,10,no,"stage ",Las Palmas de Gran Canaria,bnp,2
417,Lynea,Sacken,Lynea.Sacken@supinfo.com,nantes,2020,Ghana,YES,14,no,contrat pro,Malé,cgi,6
418,Christian,Sacken,Christian.Sacken@supinfo.com,montpellier,2016,Sudan,YES,6,"yes ",contrat pro,Frankfurt,ascenci,4
419,Tilly,Bronk,Tilly.Bronk@supinfo.com,tour,2019,Guatemala,NO,9,"yes ","stage ",Alexandria,expanscience,4
420,Cyndie,Moina,Cyndie.Moina@supinfo.com,tour,2020,Kiribati,NO,9,no,contrat pro,Baltimore,ascenci,8
421,Clary,Donell,Clary.Donell@supinfo.com,paris,2019,Uganda,NO,2,"yes ",N/A,Arequipa,google,1
422,Brena,Rocray,Brena.Rocray@supinfo.com,tours,2017,Heard Island and Mcdonald Islands,YES,2,no,"stage ",Brazzaville,societe generale,2
423,Camile,Sikorski,Camile.Sikorski@supinfo.com,nantes,2021,Belarus,YES,8,"yes ","alternance ",Hamburg,societe generale,5
424,Emilia,Miru,Emilia.Miru@supinfo.com,lille,2021,Saint Pierre and Miquelon,YES,14,no,N/A,Ibiza,oracle,7
425,Ellette,Gaulin,Ellette.Gaulin@supinfo.com,lyon,2021,Seychelles,YES,15,no,"alternance ",Labasa,javista,9
426,Demetris,Aprile,Demetris.Aprile@supinfo.com,lyon,2017,Macao,YES,3,no,contrat pro,Warsaw,microsoft,7
427,Laurene,Albertine,Laurene.Albertine@supinfo.com,tours,2017,Singapore,NO,13,no,contrat pro,Nagoya,expanscience,8
428,Melina,Ilka,Melina.Ilka@supinfo.com,toulouse,2018,Haiti,NO,17,"yes ","alternance ",Mbabane,cgi,6
429,Silvana,Mathilde,Silvana.Mathilde@supinfo.com,montpellier,2018,Portugal,NO,3,"yes ","alternance ",Barcelona,capgemini,4
430,Desirae,Winnick,Desirae.Winnick@supinfo.com,toulouse,2019,Morocco,YES,12,"yes ",N/A,Puerto Williams,oracle,7
431,Selma,Zitvaa,Selma.Zitvaa@supinfo.com,montpellier,2016,Heard Island and Mcdonald Islands,NO,4,"yes ","alternance ",Memphis,ascenci,2
432,Ermengarde,Joni,Ermengarde.Joni@supinfo.com,toulouse,2019,Christmas Island,YES,15,"yes ","stage ",Montevideo,bouyges,10
433,Tarra,Kolnick,Tarra.Kolnick@supinfo.com,tours,2021,Seychelles,NO,13,"yes ",contrat pro,Mérida,bnp,2
434,Nonnah,Melony,Nonnah.Melony@supinfo.com,tour,2021,Jersey,YES,11,"yes ","stage ",Rabi Island,ascenci,5
435,Lucy,Papageno,Lucy.Papageno@supinfo.com,nantes,2021,Somalia,NO,11,no,"alternance ",Tianjin,orange,1
436,Jessamyn,Kylander,Jessamyn.Kylander@supinfo.com,lille,2016,Germany,YES,16,"yes ","stage ",Tashkent,oracle,10
437,Jenilee,Haldas,Jenilee.Haldas@supinfo.com,toulouse,2020,Austria,NO,6,no,"stage ",Kandy,societe generale,6
438,Sophia,Thar,Sophia.Thar@supinfo.com,tours,2018,Eritrea,YES,12,"yes ",N/A,Concepción,javista,9
439,Desirae,Xerxes,Desirae.Xerxes@supinfo.com,nantes,2019,Uganda,NO,18,"yes ","alternance ",Kawasaki,bnp,6
440,Calla,Damarra,Calla.Damarra@supinfo.com,tour,2020,Jordan,NO,16,"yes ","stage ",Horta (Azores),google,7
441,Meghann,Vilma,Meghann.Vilma@supinfo.com,nantes,2020,Kazakhstan,YES,14,no,"alternance ",Rosario,total,9
442,Mary,Alabaster,Mary.Alabaster@supinfo.com,montpellier,2017,El Salvador,YES,12,no,N/A,Mecca,total,1
443,Kaia,Winthorpe,Kaia.Winthorpe@supinfo.com,nantes,2018,Afghanistan,YES,5,"yes ",N/A,George Town,oracle,4
444,Rani,Kunin,Rani.Kunin@supinfo.com,tour,2017,Holy See (Vatican City State),NO,14,"yes ",contrat pro,El Paso,,1
445,Belinda,Nikaniki,Belinda.Nikaniki@supinfo.com,tours,2021,Dominican Republic,YES,18,"yes ","stage ",Thimphu,total,1
446,Beth,O'Rourke,Beth.O'Rourke@supinfo.com,lyon,2016,Mauritania,YES,6,"yes ",N/A,Darwin,orange,10
447,Robbi,Dunkin,Robbi.Dunkin@supinfo.com,tour,2019,Hong Kong,YES,18,no,contrat pro,Ulan Bator,google,9
448,Leontine,Grimbly,Leontine.Grimbly@supinfo.com,montpellier,2017,Northern Mariana Islands,YES,16,no,contrat pro,Rabat,oracle,5
449,Jackie,Tice,Jackie.Tice@supinfo.com,montpellier,2017,New Zealand,NO,9,"yes ",N/A,Nagoya,bnp,1
450,Delilah,Japeth,Delilah.Japeth@supinfo.com,montpellier,2018,Tokelau,YES,17,"yes ","stage ",Andorra la Vella,capgemini,2
451,Raf,Forrer,Raf.Forrer@supinfo.com,nantes,2016,Tuvalu,NO,11,"yes ","stage ",Novosibirsk,cgi,2
452,Roseline,Pacorro,Roseline.Pacorro@supinfo.com,montpellier,2016,China,YES,6,"yes ","stage ",Adelaide,bnp,8
453,Carmencita,Bultman,Carmencita.Bultman@supinfo.com,nantes,2018,Guadeloupe,YES,7,"yes ","stage ",Nanjing,expanscience,9
454,Elka,Henebry,Elka.Henebry@supinfo.com,tour,2021,Norway,YES,6,"yes ",contrat pro,Gothenburg,javista,6
455,Ashlee,Luhe,Ashlee.Luhe@supinfo.com,toulouse,2018,Nepal,YES,9,"yes ","alternance ",Labasa,societe generale,7
456,Florie,Yoko,Florie.Yoko@supinfo.com,paris,2018,Ireland,NO,11,"yes ","stage ",Shijiazhuang,microsoft,2
457,Adelle,Woodberry,Adelle.Woodberry@supinfo.com,lille,2016,Saint Helena,NO,7,"yes ",contrat pro,Toulouse,microsoft,10
458,Nickie,Linskey,Nickie.Linskey@supinfo.com,lille,2021,San Marino,YES,2,"yes ",N/A,Antofagasta,orange,8
459,Moyna,Trinetta,Moyna.Trinetta@supinfo.com,toulouse,2018,El Salvador,NO,4,"yes ",contrat pro,Timbuktu,bnp,9
460,Paule,Ardeha,Paule.Ardeha@supinfo.com,montpellier,2020,Algeria,YES,6,"yes ","stage ",Maceió,capgemini,1
461,Mariann,Dowski,Mariann.Dowski@supinfo.com,toulouse,2021,United Kingdom,NO,3,"yes ",N/A,Dubai,bnp,9
462,Sharai,Gibbeon,Sharai.Gibbeon@supinfo.com,montpellier,2016,Eritrea,YES,14,no,"stage ",Belém,capgemini,4
463,Margette,Sperling,Margette.Sperling@supinfo.com,tour,2016,Barbados,NO,12,"yes ","alternance ",Seoul,total,8
464,Tatiania,Salchunas,Tatiania.Salchunas@supinfo.com,paris,2018,Belarus,NO,6,"yes ",contrat pro,Muscat,total,4
465,Margalo,Sandye,Margalo.Sandye@supinfo.com,lille,2021,Dominican Republic,NO,3,no,"alternance ",Washington,cgi,5
466,Justinn,Himelman,Justinn.Himelman@supinfo.com,lyon,2018,Central African Republic,NO,12,no,"alternance ",Raleigh,societe generale,4
467,Ebonee,Gaal,Ebonee.Gaal@supinfo.com,nantes,2021,Syrian Arab Republic,YES,13,no,"stage ",Perm,ascenci,3
468,Ellette,Hollingsworth,Ellette.Hollingsworth@supinfo.com,tour,2020,Saint Pierre and Miquelon,YES,12,no,"alternance ",Brasília,bouyges,3
469,Raina,Middleton,Raina.Middleton@supinfo.com,montpellier,2018,Benin,NO,5,"yes ","alternance ",Dublin,microsoft,6
470,Mellicent,Toor,Mellicent.Toor@supinfo.com,tours,2016,Antigua and Barbuda,NO,7,"yes ",contrat pro,Dededo,ascenci,1
471,Beverley,Greyson,Beverley.Greyson@supinfo.com,toulouse,2016,Dominica,YES,13,no,N/A,Valencia,expanscience,4
472,Celestyna,Infield,Celestyna.Infield@supinfo.com,montpellier,2021,Holy See (Vatican City State),NO,5,"yes ",N/A,Bogotá,capgemini,1
473,Ketti,Chapland,Ketti.Chapland@supinfo.com,montpellier,2020,Maldives,NO,7,"yes ","alternance ",Horta (Azores),bnp,5
474,Jackie,Sacken,Jackie.Sacken@supinfo.com,paris,2021,Mauritania,YES,18,"yes ","alternance ",Tel Aviv,ascenci,4
475,Viki,Evvie,Viki.Evvie@supinfo.com,lille,2017,"Macedonia, The Former Yugoslav Republic of",YES,10,no,"stage ",Toronto,expanscience,7
476,Karena,Alisia,Karena.Alisia@supinfo.com,lyon,2021,"Tanzania, United Republic of",NO,4,no,"stage ",Stanley,bnp,1
477,Kore,Rosette,Kore.Rosette@supinfo.com,tours,2016,Finland,YES,14,"yes ","stage ",Banda Aceh,oracle,9
478,Sheree,Odysseus,Sheree.Odysseus@supinfo.com,toulouse,2016,Viet Nam,YES,10,no,N/A,Louisville,microsoft,1
479,Jillayne,Moseley,Jillayne.Moseley@supinfo.com,lille,2020,Uganda,NO,6,no,"stage ",Minsk,,9
480,Roz,Kat,Roz.Kat@supinfo.com,toulouse,2021,Nigeria,NO,2,no,"stage ",Kyoto,oracle,7
481,Lynde,Cookie,Lynde.Cookie@supinfo.com,toulouse,2020,Kuwait,YES,2,no,contrat pro,Bandung,orange,3
482,Wileen,Wesle,Wileen.Wesle@supinfo.com,paris,2017,Tajikistan,NO,15,no,N/A,Riga,javista,8
483,Carolina,Fink,Carolina.Fink@supinfo.com,nantes,2021,Thailand,YES,5,no,"alternance ",Veracruz,ascenci,7
484,Almeta,Verger,Almeta.Verger@supinfo.com,lille,2020,South Africa,NO,15,"yes ",contrat pro,Madrid,expanscience,4
485,Louella,Erskine,Louella.Erskine@supinfo.com,lyon,2019,Liechtenstein,YES,4,"yes ","alternance ",Harbin,capgemini,8
486,Asia,Ashok,Asia.Ashok@supinfo.com,tours,2020,Armenia,YES,17,"yes ","stage ",Ilhéus,javista,3
487,Claresta,Connelly,Claresta.Connelly@supinfo.com,tour,2020,Cape Verde,YES,5,no,"stage ",Tianjin,societe generale,10
488,Julieta,Odysseus,Julieta.Odysseus@supinfo.com,toulouse,2019,United States,YES,18,no,N/A,Kinshasa,cgi,9
489,Tatiania,Hanshaw,Tatiania.Hanshaw@supinfo.com,toulouse,2019,Vanuatu,YES,4,no,contrat pro,Guatemala City,total,7
490,Ricky,Boycey,Ricky.Boycey@supinfo.com,paris,2016,Germany,NO,14,"yes ","stage ",Nukus,societe generale,7
491,Neila,An,Neila.An@supinfo.com,tours,2019,Ireland,NO,9,no,N/A,San Francisco,ascenci,6
492,Sam,Cleavland,Sam.Cleavland@supinfo.com,tours,2017,Haiti,NO,12,"yes ",N/A,San José,bnp,10
493,Mellicent,Tippets,Mellicent.Tippets@supinfo.com,tours,2021,Austria,YES,7,no,contrat pro,Shenzhen,cgi,8
494,Andeee,Cherianne,Andeee.Cherianne@supinfo.com,tours,2016,Norfolk Island,YES,2,"yes ","alternance ",Banda Aceh,societe generale,8
495,Annora,Corilla,Annora.Corilla@supinfo.com,montpellier,2021,Somalia,YES,9,"yes ","alternance ",Agartala,microsoft,3
496,Deirdre,Lasley,Deirdre.Lasley@supinfo.com,tours,2019,Falkland Islands (Malvinas),NO,8,no,"stage ",Curitiba,javista,9
497,Viviene,Nunci,Viviene.Nunci@supinfo.com,tours,2018,Norfolk Island,YES,7,"yes ",N/A,Sitka,bnp,6
498,Lory,McLaughlin,Lory.McLaughlin@supinfo.com,tours,2016,Tajikistan,YES,5,no,contrat pro,Mamoudzou,total,10
499,Selia,O'Neill,Selia.O'Neill@supinfo.com,tours,2021,Namibia,NO,4,"yes ","stage ",Surat Thani,capgemini,7
500,Robinia,Malina,Robinia.Malina@supinfo.com,lille,2018,Nauru,YES,3,"yes ",contrat pro,Houston,microsoft,1
501,Barbi,Ranjiv,Barbi.Ranjiv@supinfo.com,lille,2019,India,YES,7,no,"alternance ",Jinan,ascenci,3
502,Cacilie,Lipson,Cacilie.Lipson@supinfo.com,lille,2018,Norway,NO,4,no,"stage ",São José dos Campos,cgi,10
503,Cathie,Saunderson,Cathie.Saunderson@supinfo.com,lille,2016,Wallis and Futuna,YES,6,no,N/A,Nakhon Ratchasima,google,9
504,Joeann,Jethro,Joeann.Jethro@supinfo.com,toulouse,2018,South Georgia and the South Sandwich Islands,YES,18,no,N/A,Malabo,cgi,1
505,Sonni,Nedrud,Sonni.Nedrud@supinfo.com,paris,2018,Austria,NO,8,"yes ",contrat pro,Valencia,orange,2
